,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
438,0.4767,Mon Jan 08 22:32:04 +0000 2018,0.763,0.0,0.237,The complete list of winners at the 2018 Golden Globes https://t.co/bhC6fTb4B8,39,@nytimes
439,-0.5574,Mon Jan 08 22:17:03 +0000 2018,0.825,0.175,0.0,New Jersey lifted a ban on a bestselling book about mass incarceration after the ACLU called the prohibition “ironi… https://t.co/BGn8CeeaGR,40,@nytimes
440,-0.0516,Mon Jan 08 22:00:39 +0000 2018,0.741,0.152,0.107,"“We had hope that if we worked hard, paid our taxes and didn’t get in trouble we would be allowed to stay” https://t.co/X8L2cyVr7Z",41,@nytimes
441,0.7065,Mon Jan 08 21:47:05 +0000 2018,0.593,0.119,0.288,The genetic fingerprinting methods that have been so successful in the criminal justice system are now being used t… https://t.co/yb8pmDYv99,42,@nytimes
442,0.0,Mon Jan 08 21:33:08 +0000 2018,1.0,0.0,0.0,"Opinion: Oprah, don't do it https://t.co/ElEv8o20TP",43,@nytimes
443,-0.5719,Mon Jan 08 21:20:03 +0000 2018,0.802,0.198,0.0,The @nytimesbooks review of “Fire and Fury: Inside the Trump White House” by Michael Wolff https://t.co/f96fh7MwFn,44,@nytimes
444,0.0,Mon Jan 08 21:10:05 +0000 2018,1.0,0.0,0.0,"RT @rpogrebin: BIG ART NEWS A Mega-dealer is getting more mega: David Zwirner is planning a new $50m gallery in Chelsea, designed by Renzo…",45,@nytimes
445,0.0,Mon Jan 08 20:55:04 +0000 2018,1.0,0.0,0.0,"Just about anyone can enter this visa-free zone between Kazakhstan and China — that is, except for men with long be… https://t.co/7Wl4cMH8zS",46,@nytimes
446,-0.0516,Mon Jan 08 20:46:56 +0000 2018,0.93,0.07,0.0,"Another NYT reader's reaction to the Trump administration announcement that nearly 200,000 Salvadorans must leave t… https://t.co/WEhbmWmmQA",47,@nytimes
447,-0.0516,Mon Jan 08 20:40:12 +0000 2018,0.926,0.074,0.0,"A reader reacting to the Trump administration announcement that nearly 200,000 Salvadorans must leave the U.S.… https://t.co/KuCCc2U12J",48,@nytimes
448,-0.2732,Mon Jan 08 20:25:06 +0000 2018,0.905,0.095,0.0,"The charges against the Bundys, who led an armed standoff at their ranch in 2014, have been dismissed by a federal… https://t.co/mwlFaxG1qr",49,@nytimes
449,0.0258,Mon Jan 08 20:10:06 +0000 2018,0.644,0.176,0.18,"Best: Oprah Winfrey's speech, Natalie Portman's one-liner 
Worst: Mostly silent men, some of those red-carpet inter… https://t.co/xttPAYDe4N",50,@nytimes
450,-0.7579,Mon Jan 08 19:55:13 +0000 2018,0.745,0.255,0.0,"How an abolitionist, pro-North Civil War hymn came to be the fight song of a football team in the Deep South https://t.co/Nl908Tb50x",51,@nytimes
451,-0.1154,Mon Jan 08 19:40:06 +0000 2018,0.935,0.065,0.0,"Carrie Gracie said she was offered a raise before resigning as the BBC’s China editor, but one that still did not b… https://t.co/fjI9hJ0OIN",52,@nytimes
452,0.0,Mon Jan 08 19:25:02 +0000 2018,1.0,0.0,0.0,RT @nytimesES: Casi 200.000 salvadoreños que tenían permiso de vivir en Estados Unidos por más de una década ahora deberán irse del país. h…,53,@nytimes
453,0.0,Mon Jan 08 19:10:04 +0000 2018,1.0,0.0,0.0,"Marinate today, grill tomorrow https://t.co/JoFJ3RdE5z",54,@nytimes
454,0.0,Mon Jan 08 19:00:09 +0000 2018,1.0,0.0,0.0,RT @comradewong: How will a reborn Chinese empire shape the world? My thoughts on leaving China after nearly a decade reporting there for t…,55,@nytimes
455,-0.765,Mon Jan 08 18:47:55 +0000 2018,0.72,0.28,0.0,Breaking News: A fraternity has been banned from operating in Pennsylvania for 10 years after a pledge died in a 20… https://t.co/yIZI20F5MF,56,@nytimes
456,0.4404,Mon Jan 08 18:35:09 +0000 2018,0.854,0.0,0.146,"A handful of Mexican towns and cities are effectively seceding from the state. Sometimes with money, sometimes with… https://t.co/0yVm5GFYnA",57,@nytimes
457,-0.5106,Mon Jan 08 18:20:28 +0000 2018,0.656,0.226,0.118,"RT @adamliptak: “I have wondered if black people even have souls,” said a juror in a death penalty case.  On Monday, the Supreme Court call…",58,@nytimes
458,0.0,Mon Jan 08 18:10:13 +0000 2018,1.0,0.0,0.0,"Nearly 200,000 people from El Salvador who have been allowed to live in the U.S. for more than a decade must leave… https://t.co/XOPsyYGjKI",59,@nytimes
459,0.0258,Mon Jan 08 18:00:17 +0000 2018,0.735,0.11,0.155,RT @ThomasErdbrink: “The problem is that we want two generations after us to live the way we like them to.” https://t.co/HP2qmmJfks,60,@nytimes
460,0.0,Mon Jan 08 17:50:19 +0000 2018,1.0,0.0,0.0,"At least 4 people from 3 states have lined up to claim Charles Manson’s body, his property or both in the weeks sin… https://t.co/seg8USY4ll",61,@nytimes
461,-0.5423,Mon Jan 08 17:40:13 +0000 2018,0.837,0.163,0.0,"“We’re already taxed and harassed, and soon they’ll be charging for air,” one fruit and vegetable vendor said https://t.co/P9t15mbBXF",62,@nytimes
462,0.5859,Mon Jan 08 17:30:03 +0000 2018,0.853,0.0,0.147,"RT @dansaltzstein: We got 13,000 applications for our 52 Places Traveler job. We'll announce the winner later this week. In the meantime, a…",63,@nytimes
463,0.6962,Mon Jan 08 17:20:03 +0000 2018,0.776,0.0,0.224,"""The result was one of the most elegant, genuinely chic red carpets I’ve seen in Hollywood. Given meaning by the wo… https://t.co/kvzhTsZrCV",64,@nytimes
464,-0.4973,Mon Jan 08 17:10:08 +0000 2018,0.886,0.114,0.0,"RT @jessbidgood: ""You have to shout to be heard above the wind, but you have nothing intelligent to say.” @kseelye on our trip up Mt. Washi…",65,@nytimes
465,0.7506,Mon Jan 08 17:00:19 +0000 2018,0.67,0.0,0.33,A strong economy typically lifts a president's approval ratings. President Trump seems to be an exception. https://t.co/lFQBzplPI9,66,@nytimes
466,-0.2023,Mon Jan 08 16:45:05 +0000 2018,0.859,0.141,0.0,Here’s a look at the highs and lows of Golden Globes night https://t.co/GFGXxBlCo1,67,@nytimes
467,0.0,Mon Jan 08 16:41:02 +0000 2018,1.0,0.0,0.0,It was so hot in Australia that the asphalt melted on a stretch of highway https://t.co/CZAndxpbjy,68,@nytimes
468,0.7125,Mon Jan 08 16:30:22 +0000 2018,0.771,0.0,0.229,"RT @melbournecoal: The new editor of GLAMOUR is...Samantha Barry, the first top editor at Condé Nast with an exclusively digital and televi…",69,@nytimes
469,0.0,Mon Jan 08 16:20:07 +0000 2018,1.0,0.0,0.0,FEMA is substantially redrawing New York City’s flood maps to account for climate change. Deciding who is in the fl… https://t.co/AgwOw3TItV,70,@nytimes
